artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Lo Moon,"For Me, It's You","For Me, It's You",2odYUJ9LhwDVVPxXL3NxuB,0.452,0.46,0,-12.986,1,0.0327,0.0199,0.177,0.199,81.957,240027,4,warm_fuzzy_feeling
Dan + Shay,Dan + Shay,Speechless,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,-5.968,1,0.0298,0.0,0.24,0.386,135.929,213387,4,warm_fuzzy_feeling
Imaginary Future,I Will Spend My Whole Life Loving You,I Will Spend My Whole Life Loving You,77enz5hl8RicxrbPB56VXQ,0.637,0.129,11,-17.082,1,0.0346,0.0,0.0719,0.298,125.802,227619,4,warm_fuzzy_feeling
Hozier,Hozier,Cherry Wine - Live,0bZ52QzCCKfrfOqs7za6lI,0.415,0.11,1,-14.901,1,0.0388,0.00234,0.0962,0.234,81.876,240147,4,warm_fuzzy_feeling
Haley Reinhart,Can't Help Falling in Love,Can't Help Falling in Love,0Rm2G83ELwkuEgpHlJcBPn,0.406,0.0307,0,-17.636,1,0.04,0.0,0.0984,0.245,136.716,173500,4,warm_fuzzy_feeling
AJR,Spotify Singles,Location - Recorded at Spotify Studios NYC,7jwZYPS8reDirsT4Mvqpui,0.566,0.261,10,-8.801,1,0.0375,0.0,0.106,0.477,97.595,178795,4,warm_fuzzy_feeling
James Bay,James Bay Spotify Session 2015,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",1zJpJ3HPRtAYYNLWm5BJEf,0.652,0.18,5,-9.735,0,0.111,4.04e-06,0.71,0.328,115.218,261120,3,warm_fuzzy_feeling
One Direction,Take Me Home: Yearbook Edition,Little Things,7kSLdGdXLey7pzLsWpdg1h,0.707,0.222,7,-11.716,1,0.0329,0.0,0.205,0.556,110.095,219640,4,warm_fuzzy_feeling
Niall Horan,Flicker (Deluxe),This Town,0qvzXomUDJVaUboy2wMfiS,0.677,0.401,9,-8.467,1,0.0308,0.0,0.116,0.195,111.825,232852,4,warm_fuzzy_feeling
Kodaline,In A Perfect World,All I Want,5JuA3wlm0kn7IHfbeHV0i6,0.226,0.408,0,-9.74,1,0.0432,0.131,0.187,0.142,91.341,306387,3,warm_fuzzy_feeling
